cycle,state,stream_cycle,c_valid,busy,done,pe_mac_fire_flat,psum_flat
0,0,0,0,0,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,0,0,0,0,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,0,0,0,0,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,1,0,0,1,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,2,0,0,1,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,1,0,1,0,0001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,2,2,0,1,0,0013,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003
4,2,3,0,1,0,0137,000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffff000003
5,2,4,0,1,0,137f,000000000000000000000000000000000000000000000000000000000000000000000000000000000004ffffff000003
6,2,5,0,1,0,37fe,000000000000000000000000000000000000000000000000000000000000000005000000000002000004ffffff000003
7,2,6,0,1,0,7fec,000000000000000000000000000000000000000000fffffd000000fffffe000005000000000002000004ffffff000003
8,3,7,0,1,0,fec8,000000000000000000000000000000000000000006fffffd000001fffffe000005000000000002000004ffffff000003
9,3,7,0,1,0,ec80,000000000000000000000008000000000007000006fffffd000001fffffe000005000000000002000004ffffff000003
10,3,7,0,1,0,c800,000000000000fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
11,3,7,0,1,0,8000,000000000002fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
12,4,7,0,1,0,0000,000009000002fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
13,5,7,1,0,1,0000,000009000002fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
13,0,7,0,0,0,0000,000009000002fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
13,0,7,0,0,0,0000,000009000002fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
0,1,7,0,1,0,0000,000009000002fffffb000008fffffc000007000006fffffd000001fffffe000005000000000002000004ffffff000003
1,2,0,0,1,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,1,0,1,0,0001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,2,2,0,1,0,0013,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
4,2,3,0,1,0,0137,000000000000000000000000000000000000000000000000000000000000000000000001000000000000000002000000
5,2,4,0,1,0,137f,000000000000000000000000000000000000000000000001000000000000000002000000000000000003000002000002
6,2,5,0,1,0,37fe,000000000000000000000001000000000000000002000000000000000003000002000002000004000004000000000005
7,2,6,0,1,0,7fec,000000000000000002000000000000000003000002000002000004000004000000000005000006000005000001000005
8,3,7,0,1,0,fec8,000000000003000002000002000004000004000000000005000006000005000001000005000006000004000001000005
9,3,7,0,1,0,ec80,000004000004000000000005000006000005000001000005000006000004000001000005000008000004000001000005
10,3,7,0,1,0,c800,000006000005000001000005000006000004000001000005000008000004000001000005000008000004000001000005
11,3,7,0,1,0,8000,000006000004000001000005000008000004000001000005000008000004000001000005000008000004000001000005
12,4,7,0,1,0,0000,000008000004000001000005000008000004000001000005000008000004000001000005000008000004000001000005
13,5,7,1,0,1,0000,000008000004000001000005000008000004000001000005000008000004000001000005000008000004000001000005
13,0,7,0,0,0,0000,000008000004000001000005000008000004000001000005000008000004000001000005000008000004000001000005
13,0,7,0,0,0,0000,000008000004000001000005000008000004000001000005000008000004000001000005000008000004000001000005
0,1,7,0,1,0,0000,000008000004000001000005000008000004000001000005000008000004000001000005000008000004000001000005
1,2,0,0,1,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,1,0,1,0,0001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,2,2,0,1,0,0013,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fffffe
4,2,3,0,1,0,0137,000000000000000000000000000000000000000000000000000000000000000000000002000000000000000004fffffa
5,2,4,0,1,0,137f,000000000000000000000000000000000000000000ffffff000000000000fffffc000012000000000000000006000000
6,2,5,0,1,0,37fe,000000000000000000fffffd000000000000000002ffffff000000000000fffff4000010000006ffffff000009000000
7,2,6,0,1,0,7fec,000000000000000006fffff5000000000000000002fffff9fffffa000004fffff300000c000007fffff6000009000000
8,3,7,0,1,0,fec8,00000000000000000afffff7000003000000ffffffffffeffffff6000007fffff900000c000007fffff6000009000000
9,3,7,0,1,0,ec80,000009fffffe00000bffffff00000300000900000effffeffffff600000bfffff900000c000007fffff6000009000000
10,3,7,0,1,0,c800,00000bfffffbffffffffffff00000300001300000effffefffffee00000bfffff900000c000007fffff6000009000000
11,3,7,0,1,0,8000,00000bfffff3ffffffffffffffffef00001300000effffefffffee00000bfffff900000c000007fffff6000009000000
12,4,7,0,1,0,0000,00001bfffff3ffffffffffffffffef00001300000effffefffffee00000bfffff900000c000007fffff6000009000000
13,5,7,1,0,1,0000,00001bfffff3ffffffffffffffffef00001300000effffefffffee00000bfffff900000c000007fffff6000009000000
13,0,7,0,0,0,0000,00001bfffff3ffffffffffffffffef00001300000effffefffffee00000bfffff900000c000007fffff6000009000000
13,0,7,0,0,0,0000,00001bfffff3ffffffffffffffffef00001300000effffefffffee00000bfffff900000c000007fffff6000009000000
0,1,7,0,1,0,0000,00001bfffff3ffffffffffffffffef00001300000effffefffffee00000bfffff900000c000007fffff6000009000000
1,2,0,0,1,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2,1,0,1,0,0001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,2,2,0,1,0,0013,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,2,3,0,1,0,0137,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,2,4,0,1,0,137f,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,2,5,0,1,0,37fe,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,2,6,0,1,0,7fec,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,3,7,0,1,0,fec8,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,3,7,0,1,0,ec80,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,3,7,0,1,0,c800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,3,7,0,1,0,8000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,4,7,0,1,0,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,5,7,1,0,1,0000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
